character,count
"!",6
"'",1
",",3540
"-",142
".",1770
":",1027
";",102
"?",71
"a",21587
"b",3709
"c",3723
"d",13146
"e",30592
"f",5474
"g",4450
"h",19969
"i",14068
"j",76
"k",1956
"l",8488
"m",5778
"n",18498
"o",17404
"p",2782
"q",113
"r",12067
"s",12910
"t",22170
"u",5193
"v",1573
"w",7607
"x",52
"y",4963
"z",29
"—",4
"’",113
